infinitive_spanish,infinitive_english,mood_spanish,mood_english,tense_spanish,tense_english,form_1ps_spanish,form_1ps_english,form_2ps_spanish,form_2ps_english,form_3ps_spanish,form_3ps_english,form_1pp_spanish,form_1pp_english,form_2pp_spanish,form_2pp_english,form_3pp_spanish,form_3pp_english,gerund_spanish,gerund_english,past_participle_spanish,past_participle_english
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,presente,present,abandono,"I abandon, am abandoning",abandonas,"you abandon, are abandoning",abandona,"he/she abandon, is abandoning",abandonamos,"we abandon, are abandoning",abandonáis,"you abandon, are abandoning",abandonan,"they abandon, are abandoning",abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,futuro,future,abandonaré,I will abandon,abandonarás,you will abandon,abandonará,he/she will abandon,abandonaremos,we will abandon,abandonaréis,you will abandon,abandonarán,they will abandon,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,imperfecto,imperfect,abandonaba,"I was abandoning, used to abandon, abandoned",abandonabas,"you were abandoning, used to abandon, abandoned",abandonaba,"he/she was abandoning, used to abandon, abandoned",abandonábamos,"we were abandoning, used to abandon, abandoned",abandonabais,"you were abandoning, used to abandon, abandoned",abandonaban,"they were abandoning, used to abandon, abandoned",abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,pretérito,preterite,abandoné,I abandoned,abandonaste,you abandoned,abandonó,he/she abandoned,abandonamos,we abandoned,abandonasteis,you abandoned,abandonaron,they abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,condicional,conditional,abandonaría,I would abandon,abandonarías,you would abandon,abandonaría,he/she would abandon,abandonaríamos,we would abandon,abandonaríais,you would abandon,abandonarían,they would abandon,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,presente perfecto,present perfect,he abandonado,I have abandoned,has abandonado,you have abandoned,ha abandonado,he/she has abandoned,hemos abandonado,we have abandoned,habéis abandonado,you have abandoned,han abandonado,they have abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,futuro perfecto,future perfect,habré abandonado,I will have abandoned,habrás abandonado,you will have abandoned,habrá abandonado,he/she will has abandoned,habremos abandonado,we will have abandoned,habréis abandonado,you will have abandoned,habrán abandonado,they will have abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,pluscuamperfecto,past perfect,había abandonado,I had abandoned,habías abandonado,you had abandoned,había abandonado,he/she had abandoned,habíamos abandonado,we had abandoned,habíais abandonado,you had abandoned,habían abandonado,they had abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,pretérito anterior,preterite (archaic),hube abandonado,I had abandoned,hubiste abandonado,you had abandoned,hubo abandonado,he/she had abandoned,hubimos abandonado,we had abandoned,hubisteis abandonado,you had abandoned,hubieron abandonado,they had abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",indicativo,indicative,condicional perfecto,conditional perfect,habría abandonado,I would have abandoned,habrías abandonado,you would have abandoned,habría abandonado,he/she would has abandoned,habríamos abandonado,we would have abandoned,habríais abandonado,you would have abandoned,habrían abandonado,they would have abandoned,abandonando,abandoning,abandonado,abandoned
